"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-28_W15.24mm";1;"27C512";;;
2;"BUS_Expansion2";"50_pin_edge_female";1;"my_components_MSX_SLOT_HOST";;;
3;"BUS_Expansion1";"DaewooBackSlotConnector";1;"my_components_MSX_SLOT_HOST";;;
4;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"100uF 16V";;;
5;"C2,C1";"C_0805_2012Metric";2;"100nF";;;
