Ref,Val,Package,PosX,PosY,Rot,Side
"BUS_Expansion1","my_components_MSX_SLOT_HOST","DaewooBackSlotConnector",105.830000,-91.384749,0.000000,top
"BUS_Expansion2","my_components_MSX_SLOT_HOST","PinHeader_2x25_P2.54mm_Vertical",165.150000,-125.599148,180.000000,top
"BUS_Expansion3","my_components_MSX_SLOT_HOST","PinHeader_2x25_P2.54mm_Vertical",186.070001,-125.599148,180.000000,top
"C6","100uF 16V","CP_Radial_D5.0mm_P2.00mm",112.500000,-66.600000,180.000000,top
"C7","100uF 16V","CP_Radial_D5.0mm_P2.00mm",112.500000,-77.000000,180.000000,top
"D1","1N4148W","D_SOD-123",124.500000,-74.439149,180.000000,top
"U1","EPM240T100","LQFP-100_14x14mm_P0.5mm",130.600000,-86.739149,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",120.700000,-68.589149,90.000000,top
"U3","27C512","DIP-28_W15.24mm",114.090000,-116.709149,90.000000,top
