Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",122.850000,-74.439149,0.000000,bottom
"C2","100nF","C_0805_2012Metric",127.099999,-74.439149,180.000000,bottom
"C3","100nF","C_0805_2012Metric",128.950000,-91.959149,0.000000,bottom
"C4","100nF","C_0805_2012Metric",132.349999,-91.959149,180.000000,bottom
"C5","100nF","C_0805_2012Metric",115.450000,-108.939148,-90.000000,bottom
"J1","AVR-JTAG-10","IDC-Header_2x05_P2.54mm_Vertical",135.400000,-110.479149,90.000000,bottom
"R1","1k","R_0805_2012Metric",145.050000,-109.089149,90.000000,bottom
"R2","10k","R_0805_2012Metric",142.700000,-109.089149,-90.000000,bottom
"R3","1k","R_0805_2012Metric",178.450000,-64.589149,180.000000,bottom
